dreg	ab	as	riskav	horizon	age	age2	nwhite	female	college	married	children	empl	selfempl	retired	advisor	wkfinance	health_exc	nfininst	future_bett	w95	w98	w01	w04	w07	w10	w13	w16	effcohort	spret	vix	inco	inco2	wthfin	wthfin2	wthreal	wthreal2	debt	debt2	home	peso
1	.0772201	.6563706	2	2	.4	.16	0	0	0	1	1	1	0	0	0	0	1	5	0	1	0	0	0	0	0	0	0	.1326588	.1011292	13.70222	.036814	.0013553	.0748291	.0055994	.2682698	.0719687	0	0	1	25556.37
1	0	.5013928	1	3	.41	.1681	0	0	0	1	0	0	1	0	0	0	1	4	1	1	0	0	0	0	0	0	0	.1321079	.1011292	13.70222	.0535408	.0028666	.1650906	.0272549	.3107879	.0965891	.1814879	.0329378	1	1951.868
2	.427673	0	2	2	.54	.2916	0	1	0	0	0	1	0	0	0	1	0	4	0	1	0	0	0	0	0	0	0	.1299602	.1011292	13.70222	.0131136	.000172	.076498	.0058519	.1039094	.0107972	0	0	1	28689.93
2	0	0	2	3	.38	.1444	0	0	0	1	1	0	1	0	0	0	1	5	0	1	0	0	0	0	0	0	0	.1341408	.1011292	13.70222	.1157365	.0133949	.2239432	.0501506	.9832013	.9666848	.1025566	.0105179	1	4201.989
1	.1935672	.3710208	3	1	.71	.5041	0	0	1	1	0	0	1	0	0	0	0	8	0	1	0	0	0	0	0	0	0	.1282913	.1011292	13.70222	.4944523	.2444831	.8202115	.6727468	1.899564	3.608343	.0582689	.0033953	1	105.7713
1	.5256695	.2753927	2	2	.46	.2116	0	0	1	1	0	0	1	0	0	0	0	11	0	1	0	0	0	0	0	0	0	.130469	.1011292	13.70222	.1414996	.0200221	.3190373	.1017848	.7020882	.4929279	.336358	.1131367	1	7444.466
1	.0458295	.6141155	1	4	.36	.1296	0	0	1	1	1	1	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	.1358096	.1011292	13.70222	.0639133	.0040849	.1035489	.0107224	.1169826	.0136849	.076961	.005923	1	34673.11
1	0	.3968254	1	1	.53	.2809	0	0	0	1	1	0	1	0	1	0	0	29	1	1	0	0	0	0	0	0	0	.129951	.1011292	13.70222	.1518624	.0230622	.1297994	.0168479	.7592157	.5764085	.5265021	.2772045	1	5830.893
1	.3869969	.2987616	2	1	.38	.1444	0	1	1	0	1	1	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	.1341408	.1011292	13.70222	.0612832	.0037556	.0625991	.0039187	.1874749	.0351468	.0430595	.0018541	1	23906.33
1	.122172	.3700486	3	3	.63	.3969	0	0	1	1	0	0	1	0	0	0	1	9	1	1	0	0	0	0	0	0	0	.1293948	.1011292	13.70222	.2919231	.0852191	.7110264	.5055585	.8779985	.7708814	.3784364	.1432141	1	4159.05
